*Película*,*Estreno en Estados Unidos*,*Presupuesto*,*Ingresos en Estados Unidos*,*Ingresos fuera de Estados Unidos*,*Ingresos totales*,*Ranking en Estados Unidos*,*Ranking mundial*,*Ranking Marvel*,*Ref*
*La Saga del Infinito*,,,,,,,,,
*Fase 1*,,,,,,,,,
*Iron Man*,2 de mayo de 2008,"$140,000,000","$318,412,101","$266,762,121","$585,174,222",#61,#150,#17,[182]​
*The Incredible Hulk*,13 de junio de 2008,"$150,000,000","$134,806,913","$128,620,638","$263,427,551",#410,#520,#21,[183]​
*Iron Man 2*,7 de mayo de 2010,"$200,000,000","$312,433,331","$311,500,000","$623,933,331",#66,#132,#15,[184]​
*Thor*,6 de mayo de 2011,"$150,000,000","$181,030,624","$268,295,994","$449,326,618",#231,#227,#19,[185]​
*Captain America: The First Avenger*,22 de julio de 2011,"$140,000,000","$176,654,505","$193,915,269","$370,569,774",#247,#306,#20,[186]​
*The Avengers*,4 de mayo de 2012,"$220,000,000","$623,357,910","$895,455,078","$1,518,812,988",#7,#6,#2,[187]​
*Fase 2*,,,,,,,,,
*Iron Man 3*,3 de mayo de 2013,"$200,000,000","$409,013,994","$805,797,258","$1,214,811,252",#24,#15,#5,[188]​
*Thor: The Dark World*,8 de noviembre de 2013,"$170,000,000","$206,362,140","$438,209,262","$644,571,402",#181,#123,#14,[189]​
*Captain America: The Winter Soldier*,4 de abril de 2014,"$170,000,000","$259,766,572","$454,497,695","$714,264,267",#104,#100,#12,[190]​
*Guardianes de la Galaxia*,1 de agosto de 2014,"$170,000,000","$333,176,600","$440,152,029","$773,328,629",#54,#84,#11,[191]​
*Avengers: Age of Ultron*,1 de mayo de 2015,"$250,000,000","$459,005,868","$946,397,826","$1,405,403,694",#15,#8,#3,[192]​
*Ant-Man*,17 de julio de 2015,"$130,000,000","$180,202,163","$339,109,802","$519,311,965",#233,#185,#18,[193]​
*Fase 3*,,,,,,,,,
*Capitán América: Civil War*,6 de mayo de 2016,"$250,000,000","$408,084,349","$745,220,146","$1,153,304,495",#25,#17,#6,[194]​
*Doctor Strange*,4 de noviembre de 2016,"$165,000,000","$232,641,920","$445,076,475","$677,718,395",#139,#112,#13,[195]​
*Guardianes de la Galaxia Vol. 2*,5 de mayo de 2017,"$200,000,000","$389,813,101","$473,942,950","$863,756,051",#32,#62,#8,[196]​
*Spider-Man: Homecoming*,7 de julio de 2017,"$175,000,000","$334,201,140","$545,965,784","$880,166,924",#52,#54,#7,[197]​
*Thor: Ragnarok*,3 de noviembre de 2017,"$180,000,000","$315,058,289","$538,918,347","$853,977,126",#65,#65,#9,[198]​
*Black Panther*,16 de febrero de 2018,"$200,000,000","$700,059,566","$646,853,262","$1,346,912,828",#3,#9,#4,[199]​
*Avengers: Infinity War*,27 de abril de 2018,"$316,000,000","$678,815,482","$1,367,848,521","$2,046,664,003",#4,#4,#1,[200]​
*Ant-Man and the Wasp*,6 de julio de 2018,"$160,000,000","$216,608,001","$405,808,134","$622,416,135",#167,#134,#16,[201]​
*Capitana Marvel*,8 de marzo de 2019,"$152,000,000","$279,079,899","$509,100,000","$779,179,899",#101,#88,#10,[202]​
*Avengers: Endgame*,26 de abril de 2019,,,,,,,,
*-*,,,,,,,,,
*Fase 4*,,,,,,,,,
*Spider-Man: Far From Home*,5 de julio de 2019,,,,,,,,
*Black Panther 2*,2020,,,,,,,,
*Black Widow*,2020,,,,,,,,
*The Eternals*,2020,,,,,,,,
*Guardianes de la Galaxia Vol. 3*,2021,,,,,,,,
*Doctor Strange 2*,2021,,,,,,,,
Total,,$3.736.000.000,"*$6,869,504,569*",$10.658.346.591,"$18,307,031,279",#1,#1,N/A,[203]​[204]​